Brand, Product Name,Color,Dimensions,Weight
Away Travel,The Softside Bigger Carry-On,Cloud Gray, 23" x 15.7" x 9.1", 9.8 lbs
Away Travel,The Softside Bigger Carry-On,Coast Blue, 23" x 15.7" x 9.1", 9.8 lbs
Away Travel,The Softside Bigger Carry-On,Olive Green, 23" x 15.7" x 9.1", 9.8 lbs
Away Travel,The Executive Carry-On,Jet Black, 21.7" x 14.4" x 9", 9 lbs
Away Travel,The Executive Carry-On,Coast Blue, 21.7" x 14.4" x 9", 9 lbs
Away Travel,The Executive Carry-On,Cloud Gray, 21.7" x 14.4" x 9", 9 lbs
Away Travel,The Executive Carry-On,Navy Blue, 21.7" x 14.4" x 9", 9 lbs
Away Travel,The Executive Carry-On,Olive Green, 21.7" x 14.4" x 9", 9 lbs
Away Travel,The Executive Bigger Carry-On,Cloud Gray, 22.7" x 15.4" x 9.6", 9.6 lbs
Away Travel,The Executive Bigger Carry-On,Navy Blue, 22.7" x 15.4" x 9.6", 9.6 lbs
Away Travel,The Executive Bigger Carry-On,Olive Green, 22.7" x 15.4" x 9.6", 9.6 lbs
Away Travel,The Executive Bigger Carry-On,Coast Blue, 22.7" x 15.4" x 9.6", 9.6 lbs
Away Travel,The Executive Bigger Carry-On,Jet Black, 22.7" x 15.4" x 9.6", 9.6 lbs
Away Travel,The Carry-On: Aluminum Edition,Onyx Black,&nbsp;21.5" x 13.5" x 9",&nbsp;10.1 lbs
Away Travel,The Carry-On: Aluminum Edition,Silver,&nbsp;21.5" x 13.5" x 9",&nbsp;10.1 lbs
Away Travel,The Carry-On: Aluminum Edition,Rose Gold,&nbsp;21.5" x 13.5" x 9",&nbsp;10.1 lbs
Away Travel,The Bigger Carry-On: Aluminum Edition,Onyx Black,&nbsp;22.7" x 14.5" x 9.6",&nbsp;10.6 lbs
Away Travel,The Bigger Carry-On: Aluminum Edition,Rose Gold,&nbsp;22.7" x 14.5" x 9.6",&nbsp;10.6 lbs
Away Travel,The Bigger Carry-On: Aluminum Edition,Silver,&nbsp;22.7" x 14.5" x 9.6",&nbsp;10.6 lbs
Away Travel,The Collegiate Bigger Carry-On,University of Maryland ®,&nbsp;22.7" x 15.4" x 9.6",&nbsp;7.9 lbs
Away Travel,The Collegiate Bigger Carry-On,The University of Arizona ®,&nbsp;22.7" x 15.4" x 9.6",&nbsp;7.9 lbs
Away Travel,The Collegiate Bigger Carry-On,UConn ®,&nbsp;22.7" x 15.4" x 9.6",&nbsp;7.9 lbs
Away Travel,The Collegiate Bigger Carry-On,University of Colorado ®,&nbsp;22.7" x 15.4" x 9.6",&nbsp;7.9 lbs
Away Travel,The Collegiate Bigger Carry-On,University of North Carolina ®,&nbsp;22.7" x 15.4" x 9.6",&nbsp;7.9 lbs
Away Travel,The Collegiate Bigger Carry-On,Auburn University ®,&nbsp;22.7" x 15.4" x 9.6",&nbsp;7.9 lbs
Away Travel,The Collegiate Bigger Carry-On,The University of Alabama ®,&nbsp;22.7" x 15.4" x 9.6",&nbsp;7.9 lbs
Away Travel,The Collegiate Bigger Carry-On,The University of Texas,&nbsp;22.7" x 15.4" x 9.6",&nbsp;7.9 lbs
Away Travel,The Collegiate Bigger Carry-On,Penn State University ™,&nbsp;22.7" x 15.4" x 9.6",&nbsp;7.9 lbs
Away Travel,The Collegiate Bigger Carry-On,UCLA ®,&nbsp;22.7" x 15.4" x 9.6",&nbsp;7.9 lbs
Away Travel,The Collegiate Bigger Carry-On,ASU ®,&nbsp;22.7" x 15.4" x 9.6",&nbsp;7.9 lbs
Away Travel,The Collegiate Bigger Carry-On,LSU ®,&nbsp;22.7" x 15.4" x 9.6",&nbsp;7.9 lbs
Away Travel,The Collegiate Bigger Carry-On,Clemson ®,&nbsp;22.7" x 15.4" x 9.6",&nbsp;7.9 lbs
Away Travel,The Collegiate Bigger Carry-On,University of Michigan ™,&nbsp;22.7" x 15.4" x 9.6",&nbsp;7.9 lbs
