Title,Image_URL,Product_Page_URL,Dimensions
,https://i5.walmartimages.com/seo/Protege-Hardside-20-Carry-on-Spinner-Luggage-Maroon-Walmart-Com-Exclusive-All-Ages_d8e1f4a4-9f39-45d2-8138-1616c8be4696.070b35a26000b0c51f256a46c7b8660e.jpeg,https://www.walmart.com/ip/Protege-Hardside-20-Carry-on-Spinner-Luggage-Maroon-Walmart-Com-Exclusive-All-Ages/570063850?classType=REGULAR,
,https://i5.walmartimages.com/seo/StorageBud-20-inch-Hardside-Carry-On-Expandable-Luggage-Front-Pocket-Luggage-Set-Spinner-Suitcase-Set-Teal_55826966-2186-42bf-acd4-603ad2badfaf.5259794ed30b1a177773b0d34007cf54.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://www.walmart.com/ip/StorageBud-20-inch-Hardside-Carry-On-Expandable-Luggage-Front-Pocket-Luggage-Set-Spinner-Suitcase-Set-Teal/1982772435?classType=VARIANT,
,,https://www.walmart.com,
,https://i5.walmartimages.com/seo/Wrangler-San-Antonio-3-pc-Expandable-Rolling-Luggage-Set-w-20-Rolling-Carry-on-and-2-Packing-Cubes-Gray_8454b423-2509-43d6-acbf-a56d4fd0172e.ff5354d0843fde3d0ae43329ec3cafac.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://www.walmart.com/ip/Wrangler-San-Antonio-3-pc-Expandable-Rolling-Luggage-Set-w-20-Rolling-Carry-on-and-2-Packing-Cubes-Gray/1833838362?classType=VARIANT&athbdg=L1103,
,https://i5.walmartimages.com/seo/Carry-On-Luggage-20-Hardside-Suitcase-ABS-Spinner-Luggage-with-Lock-Crossroad-in-Rosegold_17db3ecb-69b0-47fe-ae91-6f56cdcde824.d531b4b634ed31a37f2e50dd771d6ac8.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://www.walmart.com/ip/Carry-On-Luggage-20-Hardside-Suitcase-ABS-Spinner-Luggage-with-Lock-Crossroad-in-Rosegold/3807120578?classType=VARIANT&athbdg=L1600,
,https://i5.walmartimages.com/seo/Protege-20Inch-Hardside-ABS-Upright-Luggage-with-100-ABS-Rich-Black_2ed53450-aabd-47b4-b7ca-533fe31317ab.49d43ad83e071e467d684af791b44ef6.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://www.walmart.com/ip/Protege-20Inch-Hardside-ABS-Upright-Luggage-with-100-ABS-Rich-Black/5523078047?classType=VARIANT,
,https://i5.walmartimages.com/seo/Tripcomp-Luggage-Sets-2-Piece-Suitcase-Set-14-20-Hardside-Suitcase-with-Spinner-Wheels-Lightweight-Carry-On-Luggage-Pink_85cd0350-29b9-4dab-9dc5-1075a07e4b84.6a38aa0cdfbdbac260e96b6518b096e3.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://www.walmart.com/ip/Tripcomp-Luggage-Sets-2-Piece-Suitcase-Set-14-20-Hardside-Suitcase-with-Spinner-Wheels-Lightweight-Carry-On-Luggage-Pink/5247240047?classType=VARIANT,
,https://i5.walmartimages.com/seo/Landisun-Collapsible-Carry-on-Luggage-Water-and-Impact-Resistant-Hardshell-20-inch-Carry-On-Luggage-with-Spinner-Wheels-Griege_87f7a052-67b2-4f16-a64f-31419317063a.440d904f5be5d7b97bb6d2906759878c.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://www.walmart.com/ip/Landisun-Collapsible-Carry-on-Luggage-Hardshell-20-inch-Carry-on-Travel-Luggage-with-Spinner-Wheels-Creamy-White/5663768972?classType=VARIANT,
,https://i5.walmartimages.com/seo/MIUSSE-Hard-Shell-Luggage-Sets-3-Piece-Luggage-Backpack-Set-20-Inch-Hardside-Suitcase-Spinner-Wheels-TSA-Lock-Carry-Suitcase-Travel-Backpack-Men-Wome_009ea38d-1379-4e63-a6ce-d08db35ea1d7.e637318c8e101f22cabffc8fc2de6b10.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://www.walmart.com/ip/MIUSSE-3-Piece-Luggage-Sets-Hardshell-Hardside-TSA-Lock-Lightweight-Durable-Spinner-Wheels-Suitcase/15060971106?classType=VARIANT,
,https://i5.walmartimages.com/seo/Tripcomp-Luggage-Sets-2-Piece-Suitcase-Set-14-20-Hardside-Suitcase-with-Spinner-Wheels-Lightweight-Carry-On-Luggage-Light-Blue_1d2cb081-4068-4141-91e5-6ac645e18c8e.8d4c15b19de1348f8f8e8a912b6f5f62.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://www.walmart.com/ip/Tripcomp-Luggage-Sets-2-Piece-Suitcase-Set-14-20-Hardside-Suitcase-with-Spinner-Wheels-Lightweight-Carry-On-Luggage-Light-Blue/5312452775?classType=VARIANT,
,https://i5.walmartimages.com/seo/Landisun-Carry-on-Luggage-20-inch-Lightweight-Suitcase-with-Spinner-Wheels-and-TSA-Lock-Dark-Gray_324e6584-5c9c-407b-bdf5-4053b8311ef0.f4b585d0c8a43b6e7e05155e86125dd1.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://www.walmart.com/ip/Landisun-Carry-on-Luggage-20-inch-Lightweight-Suitcase-with-Spinner-Wheels-and-TSA-Lock-Dark-Gray/5625003759?classType=VARIANT,
,https://i5.walmartimages.com/seo/imiomo-Carry-on-Luggage-20-in-Carry-on-Suitcase-with-Spinner-Wheels-Hardside-3PCS-Set-with-TSA-Lock-Beige_ed9cb9d8-5dc5-4382-8a26-013c8e4f8961.e129cda1565886e2131230a1d45485f9.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://www.walmart.com/ip/imiomo-Carry-on-Luggage-20-in-Carry-on-Suitcase-with-Spinner-Wheels-Hardside-3PCS-Set-with-TSA-Lock-Beige/5114664904?classType=VARIANT,
,https://i5.walmartimages.com/seo/Travelers-Club-Chicago-20-Hardside-Expandable-Rolling-Carry-on-Luggage-Teal_b0899534-a403-4d17-bfdf-7a56ffe0441c_1.7d8215a669f5bf0d06d4f0746441bd5f.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://www.walmart.com/ip/Travelers-Club-Chicago-20-Hardside-Expandable-Rolling-Carry-on-Luggage-Teal/917279165?classType=VARIANT,
,https://i5.walmartimages.com/seo/Protege-Regency-21-Softside-Upright-Carry-On-Luggage-Black_75d2167c-f81c-446f-a51f-1073c4babc46.5b68601ec27a9ec36d84736d8c32cb0b.png?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://www.walmart.com/ip/Protege-Regency-21-Softside-Upright-Carry-On-Luggage-Black/536941186?classType=VARIANT,
,,https://www.walmart.com,
,https://i5.walmartimages.com/seo/Tripcomp-3-Piece-Set-Luggage-Set-Lightweight-Expandable-Carry-On-Softside-Suitcase-with-Spinner-Wheel-Black_d228d73e-c595-4b73-a52b-467f8e2788a7.bcba01543a630a2f4bdc8c17408e2e29.jpeg,https://www.walmart.com/ip/Tripcomp-3-Piece-Set-Luggage-Set-Lightweight-Expandable-Carry-On-Softside-Suitcase-with-Spinner-Wheel-Black/8860452386?classType=VARIANT,
,https://i5.walmartimages.com/seo/Tripcomp-3-Piece-Set-Luggage-Set-Lightweight-Expandable-Carry-On-Softside-Suitcase-with-Spinner-Wheel-Blue_0cbd587b-87dc-4d46-9e3e-88928e8730e4.5d0351412545a5ccf6e59f3b3a621589.jpeg?odnHeight=180&odnWidth=180&odnBg=FFFFFF,https://www.walmart.com/ip/Tripcomp-3-Piece-Set-Luggage-Set-Lightweight-Expandable-Carry-On-Softside-Suitcase-with-Spinner-Wheel-Blue/8862915883?classType=VARIANT,
